Data,Log_stopa_zwrotu,RV_21,Zamkniecie
2016-01-05,0.0065818311228024,,42419.32
2016-01-06,-0.0153503695803654,,41773.14
2016-01-07,-0.0261551949500499,,40694.72
2016-01-08,-0.0020295939921304,,40612.21
2016-01-11,-0.0164278228423302,,39950.49
2016-01-12,-0.0109902002593832,,39513.83
2016-01-13,-0.0145147221936092,,38944.44
2016-01-14,0.0141674416975881,,39500.11
2016-01-15,-0.0238512411385655,,38569.13
2016-01-18,-0.0165182093763858,,37937.27
2016-01-19,0.0031515551791077,,38057.02
2016-01-20,-0.0108726674593816,,37645.48
2016-01-21,0.0019009437326954,,37717.11
2016-01-22,0.0082935637117146,,38031.22
2016-01-26,-0.0141336706441659,,37497.48
2016-01-27,0.0231681748775086,,38376.37
2016-01-28,0.0065921895273994,,38630.19
2016-01-29,0.044943946180071,,40405.99
2016-02-01,0.004051821864756,,40570.04
2016-02-02,-0.0498768144181291,,38596.17
2016-02-03,0.0253937064174551,0.3286928984109203,39588.82
2016-02-04,0.0306677825019296,0.3475648127204248,40821.73
2016-02-05,-0.0056413176292146,0.3444183659648656,40592.09
2016-02-10,-0.0053233061360456,0.3328934591989963,40376.58
2016-02-11,-0.0265598545546817,0.3450542700236372,39318.3
2016-02-12,0.0123790937954713,0.3438230172623444,39808.05
2016-02-15,0.0071298587137948,0.342364667044868,40092.89
2016-02-16,0.0210966308068809,0.3446509627514234,40947.7
2016-02-17,0.0165451156810074,0.3457714364840297,41630.82
2016-02-18,-0.0036865125866846,0.3332356002399661,41477.63
2016-02-19,0.0015846588711791,0.325367044136255,41543.41
2016-02-22,0.0399082096588424,0.347836593539455,43234.86
2016-02-23,-0.0166504538168489,0.3519351934667427,42520.94
2016-02-24,-0.0103157328956345,0.3561593366926057,42084.56
2016-02-25,-0.0046839251713251,0.3575814254931042,41887.9
2016-02-26,-0.0070631951297605,0.3537323471140697,41593.08
2016-02-29,0.0284608270764352,0.3576232750185003,42793.86
2016-03-01,0.0305591303791009,0.3682870156399554,44121.79
2016-03-02,0.0173388078908426,0.3433915197448142,44893.48
2016-03-03,0.0499612677890851,0.3769556607826064,47193.39
2016-03-04,0.0392970002622529,0.3305370658188087,49084.87
2016-03-07,0.0032793359912858,0.3276451319572467,49246.1
2016-03-08,-0.002927558293236,0.3220739645790459,49102.14
2016-03-09,-0.008940683116932,0.3241335131662482,48665.09
2016-03-10,0.0184462691027774,0.3216830472642693,49571.11
2016-03-11,0.0013621641664186,0.295420196067728,49638.68
2016-03-14,-0.0156610888443839,0.3095216115193326,48867.34
2016-03-15,-0.0361991143862545,0.3481499940645606,47130.02
2016-03-16,0.0133501186323269,0.3454177744906127,47763.43
2016-03-17,0.0638580097712032,0.3964349064990887,50913.0
2016-03-18,-0.001946386529721,0.395746150581315,50814.0
2016-03-21,0.0070010581593286,0.3947959091396698,51171.0
2016-03-22,-0.0031512733920104,0.3815481057676097,51010.0
2016-03-23,-0.026217986320606,0.3906283858524191,49690.0
2016-03-24,-0.0006643381524092,0.3865163386271489,49657.0
2016-03-28,0.0235047389825621,0.3873060547383492,50838.0
2016-03-29,0.0061965842642098,0.3829809891670004,51154.0
2016-03-30,0.0018359021582104,0.3777512353289721,51248.0
2016-03-31,-0.0235541919953552,0.3845382549548338,50055.0
2016-04-01,0.010058127252576,0.3826576482560178,50561.0
2016-04-04,-0.0358806357513829,0.3728572573738443,48779.0
2016-04-05,0.005601453847919,0.3472970545529917,49053.0
2016-04-06,-0.019702332649995,0.3536043399246628,48096.0
2016-04-07,0.0086327896933524,0.355126303994519,48513.0
2016-04-08,0.0360142154670183,0.375351307872453,50292.0
2016-04-11,-0.0025284463533586,0.370466648357577,50165.0
2016-04-12,0.0359453767881732,0.3902440333533887,52001.0
2016-04-13,0.0218363407697625,0.3902209054430756,53149.0
2016-04-14,-0.0139827969752824,0.3683610675692814,52411.0
2016-04-15,0.0154492934402553,0.3690276824395894,53227.0
2016-04-18,-0.0062758755190359,0.3024246273891339,52894.0
2016-04-19,0.0153092930359192,0.305609181053211,53710.0
2016-04-20,-0.0014905909225341,0.3054978206873973,53630.0
2016-04-22,-0.0135729577430024,0.3099142501358323,52907.0
2016-04-25,-0.0199685926430719,0.3035008090321527,51861.0
2016-04-26,0.0232708251205443,0.3120232071397923,53082.0
2016-04-27,0.0259407065164656,0.3141298925832595,54477.0
2016-04-28,-0.0030518095532099,0.314685667700299,54311.0
2016-04-29,-0.0074107952289821,0.3166856307361878,53910.0
2016-05-02,-0.006484716253362,0.304330532372199,53561.54
2016-05-03,-0.0245963774565432,0.3178998157852616,52260.19
2016-05-04,0.0055834827378327,0.2873244872772448,52552.8
2016-05-05,-0.0169209086612771,0.2957655501006223,51671.04
2016-05-06,0.0009049331464212,0.2847031674528791,51717.82
2016-05-09,-0.0141714950923274,0.2903827347990244,50990.07
2016-05-10,0.0399980359725938,0.2964625825158884,53070.91
2016-05-11,-0.0057910858428967,0.2973823378892634,52764.46
2016-05-12,0.0089969285939707,0.2727161081415958,53241.32
2016-05-13,-0.0273614361706611,0.2788160749795505,51804.31
2016-05-16,-2.6832104286199207e-05,0.2749312250675897,51802.92
2016-05-17,-0.0187738903236505,0.2753884325177878,50839.45
2016-05-18,-0.0054782553183226,0.275252982240649,50561.7
2016-05-19,-0.008524273907994,0.2685071221301887,50132.53
2016-05-20,-0.0082075239355781,0.2689501770029934,49722.75
2016-05-23,-0.0079216455493046,0.2670158766312495,49330.42
2016-05-24,0.0002993647591398,0.2602505149759488,49345.19
