Data,Log_stopa_zwrotu,RV_21,Zamkniecie
2016-01-05,0.0020102404911239,,2016.71
2016-01-06,-0.0132021872787529,,1990.26
2016-01-07,-0.0239857940222585,,1943.09
2016-01-08,-0.010897570278899,,1922.03
2016-01-11,0.0008529006939786,,1923.67
2016-01-12,0.0077725092573912,,1938.68
2016-01-13,-0.0252823628717043,,1890.28
2016-01-14,0.0165580942179565,,1921.84
2016-01-15,-0.021835767111975,,1880.33
2016-01-19,0.0005316801750062,,1881.33
2016-01-20,-0.0117627657495138,,1859.33
2016-01-21,0.0051819702260036,,1868.99
2016-01-22,0.0200807088541207,,1906.9
2016-01-25,-0.015761508958281,,1877.08
2016-01-26,0.0140452118538381,,1903.63
2016-01-27,-0.010922893803811,,1882.95
2016-01-28,0.0055133325226166,,1893.36
2016-01-29,0.0244586482910194,,1940.24
2016-02-01,-0.0004433423964646,,1939.38
2016-02-02,-0.0189209815953702,,1903.03
2016-02-03,0.0049796200980441,0.233982740427762,1912.53
2016-02-04,0.0015256091026359,0.2338728579924345,1915.45
2016-02-05,-0.0186542097397932,0.2377604617246266,1880.05
2016-02-08,-0.0142550003378276,0.2290192060353173,1853.44
2016-02-09,-0.0006638511706025,0.226883791489099,1852.21
2016-02-10,-0.0001889813103109,0.2267611634002749,1851.86
2016-02-11,-0.0123774312134667,0.2267735552571528,1829.08
2016-02-12,0.0193299754705017,0.2236103223281182,1864.78
2016-02-16,0.0163817766353613,0.223440159016837,1895.58
2016-02-17,0.0163461153180293,0.2168873941353806,1926.82
2016-02-18,-0.0046766370852842,0.2178268240932402,1917.83
2016-02-19,-2.607147233575974e-05,0.2129598190604238,1917.78
2016-02-22,0.0143507463755285,0.2172957468383239,1945.5
2016-02-23,-0.0125325877365902,0.2122444386831412,1921.27
2016-02-24,0.0044299448982654,0.204299509621957,1929.8
2016-02-25,0.0112844170508728,0.2023471400399135,1951.7
2016-02-26,-0.0018719154129472,0.1979020086360603,1948.05
2016-02-29,-0.0081540959183034,0.2001632939064508,1932.23
2016-03-01,0.0235883876340979,0.1988951046880713,1978.35
2016-03-02,0.0040859621010796,0.199120851206597,1986.45
2016-03-03,0.0034925974922729,0.1853255269828938,1993.4
2016-03-04,0.0033004569962263,0.185100400587633,1999.99
2016-03-07,0.0008846130395075,0.1851400556822729,2001.76
2016-03-08,-0.0113037561114646,0.1762982862360289,1979.26
2016-03-09,0.0050396728076172,0.1656100350904655,1989.26
2016-03-10,0.0001558247025518,0.165382808732721,1989.57
2016-03-11,0.0162625475679903,0.1706125671493068,2022.19
2016-03-14,-0.0012618048449994,0.1610917774525712,2019.64
2016-03-15,-0.0018386503245784,0.1534074830034743,2015.93
2016-03-16,0.0055847689767839,0.146578722921365,2027.22
2016-03-17,0.0065735853667514,0.1392594286713327,2040.59
2016-03-18,0.0043959123835568,0.1367009220723117,2049.58
2016-03-21,0.0009850824218144,0.1364482649240116,2051.6
2016-03-22,-0.0008777491176506,0.1308679662753548,2049.8
2016-03-23,-0.0064064665305301,0.1235237103771736,2036.71
2016-03-24,-0.0003781321788883,0.1238362959409211,2035.94
2016-03-28,0.0005450541383505,0.1198144826149766,2037.05
2016-03-29,0.0087780312721493,0.121108129336365,2055.01
2016-03-30,0.0043409084032825,0.1147680691954779,2063.95
2016-03-31,-0.0020418612760383,0.0885865966501395,2059.74
2016-04-01,0.0063109401913092,0.0896015893852285,2072.78
2016-04-04,-0.0032134091933979,0.0912152027092068,2066.13
2016-04-05,-0.0101963766175175,0.0998200147723772,2045.17
2016-04-06,0.0104528619472367,0.1049736094709535,2066.66
2016-04-07,-0.0120481332369408,0.1061444682325657,2041.91
2016-04-08,0.0027827312669504,0.1054776808332364,2047.6
2016-04-11,-0.0027435530304558,0.1063748219924445,2041.99
2016-04-12,0.0096157633089034,0.0965879371691403,2061.72
2016-04-13,0.0099900930750864,0.1011400646596115,2082.42
2016-04-14,0.0001728608474486,0.1005523508432676,2082.78
2016-04-15,-0.0009847461231804,0.0998062583953558,2080.73
2016-04-18,0.0065196742612829,0.0997701306178742,2094.34
2016-04-19,0.0030797566260183,0.0993485260459424,2100.8
2016-04-20,0.0007613247417596,0.0993569502416346,2102.4
2016-04-21,-0.0052075999687008,0.101585607238809,2091.48
2016-04-22,4.781188891334172e-05,0.0980898717031681,2091.58
2016-04-25,-0.0018136709785938,0.0985181515115926,2087.79
2016-04-26,0.001871042227964,0.0985145784495973,2091.7
2016-04-27,0.0016480173786207,0.0946809302701716,2095.15
2016-04-28,-0.00927371089912,0.1000774603453777,2075.81
2016-04-29,-0.0050759446457705,0.1015034293500648,2065.3
2016-05-02,0.0077796631818955,0.1027504752918969,2081.43
2016-05-03,-0.0087145890251247,0.106741656759352,2063.37
2016-05-04,-0.0059545830446672,0.1025991026415712,2051.12
2016-05-05,-0.0002389224123023,0.0954948886380221,2050.63
2016-05-06,0.0031696056255198,0.0861401264915039,2057.14
2016-05-09,0.0007531895502368,0.0857048802102833,2058.69
2016-05-10,0.0124063883107314,0.0946252977269778,2084.39
2016-05-11,-0.0096075554928176,0.0959391328956901,2064.46
2016-05-12,-0.0001695502320844,0.0888900186909778,2064.11
2016-05-13,-0.0085143749616302,0.0931511879636171,2046.61
2016-05-16,0.0097490117600573,0.1000949178821914,2066.66
2016-05-17,-0.0094558869991757,0.1016209843890841,2047.21
2016-05-18,0.000205136220938,0.1006199445760195,2047.63
2016-05-19,-0.0037136112860127,0.100703333946809,2040.04
2016-05-20,0.0060014450623727,0.1028732266460669,2052.32
